agent_id,agent_name,role,constellation,purpose,allowed_actions_summary,forbidden_actions_summary,authority_pack_id,status
EXEC.executive_orchestrator,Executive Orchestrator,executive,system,Top-level orchestration of all executives and cross-constellation coordination,orchestrate constellations; delegate to executives; resolve cross-constellation conflicts; escalate to human,modify authority packs directly; execute without delegation; bypass escalation,EXEC.pack.executive_orchestrator,active
EXEC.knowledge_executive,Knowledge Executive,executive,system,Governs all knowledge operations across the vault including classification and quality,approve knowledge upgrades; classify notes; manage knowledge graph; oversee vault maintenance,modify governance principles; change authority architecture; bypass escalation on high-weight notes,EXEC.pack.knowledge_executive,active
EXEC.governance_executive,Governance Executive,executive,system,Governs authority architecture and policy compliance,audit authority packs; validate governance compliance; review escalations; approve policy changes,modify principles directly; bypass human approval on authority changes,EXEC.pack.governance_executive,active
EXEC.operations_executive,Operations Executive,executive,system,Governs operational execution and pipeline management,manage pipelines; monitor execution logs; coordinate deployments; approve operational changes,modify governance; change authority architecture; bypass build session protocol,EXEC.pack.operations_executive,active
EXEC.evolution_executive,Evolution Executive,executive,system,Governs system evolution and self-improvement,propose system upgrades; analyze performance; recommend architectural changes; manage roadmap,implement changes without approval; modify authority packs; bypass governance review,EXEC.pack.evolution_executive,active
VC.executive,Vault Governance Director,executive,vault_curator,Direct vault curator constellation operations (DEPRECATED — see vault_maintenance),oversee vault integrity audits; coordinate specialist agents; approve repair operations,modify authority packs; change governance principles; delete vault notes permanently,CONST.vault_curator.executive,deprecated
VC.supervisor,Integrity Coordinator,supervisor,vault_curator,Coordinate vault integrity audit cycles (DEPRECATED — see vault_maintenance),schedule audits; assign specialist tasks; aggregate audit results; escalate findings,approve permanent deletions; modify authority architecture; change governance rules,CONST.vault_curator.supervisor,deprecated
VC.link_auditor,Link Auditor,specialist,vault_curator,Audit wiki-link integrity (DEPRECATED — capability to be absorbed by vault_maintenance),scan for broken links; report orphan links; suggest link repairs,modify notes directly; delete files; change frontmatter authority_weight,CONST.vault_curator.specialist.link_auditor,deprecated
VC.orphan_detector,Orphan Detector,specialist,vault_curator,Detect orphan notes (DEPRECATED — capability to be absorbed by vault_maintenance),scan for orphan notes; report disconnected notes; suggest connections,modify notes directly; delete files; move files between layers,CONST.vault_curator.specialist.orphan_detector,deprecated
VC.schema_validator,Schema Validator,specialist,vault_curator,Validate frontmatter schemas (DEPRECATED — superseded by VM.template_compliance),scan frontmatter; report schema violations; suggest fixes,modify notes directly; change schema definitions; alter governance rules,CONST.vault_curator.specialist.schema_validator,deprecated
VM.executive,Maintenance Director,executive,vault_maintenance,Direct vault maintenance constellation operations and approve maintenance cycles,prioritise maintenance operations; approve cycles; delegate to coordinator; review escalations; write reports,modify authority packs; change governance architecture; delete files without escalation; change vault structure,CONST.vault_maintenance.executive,active
VM.supervisor,Maintenance Coordinator,supervisor,vault_maintenance,Coordinate vault maintenance operations across all specialist agents,schedule maintenance cycles; assign specialist tasks; aggregate results; escalate issues,approve permanent deletions; modify authority architecture; change governance rules,CONST.vault_maintenance.supervisor,active
VM.definition_alignment,Definition Alignment Auditor,specialist,vault_maintenance,Audit alignment between note content and metadata definitions,scan definition consistency; report misalignments; suggest corrections,modify notes directly; delete files; change authority_weight,CONST.vault_maintenance.specialist.definition_alignment,active
VM.ontology_integrity,Ontology Integrity Auditor,specialist,vault_maintenance,Audit ontology consistency across knowledge domains,scan concept relationships; report ontology conflicts; suggest resolutions,modify governance concepts; delete domain definitions; alter knowledge graph structure,CONST.vault_maintenance.specialist.ontology_integrity,active
VM.template_compliance,Template Compliance Scanner,specialist,vault_maintenance,Scan notes for template and schema compliance,scan template adherence; report non-compliant notes; suggest template application,modify templates; delete notes; change schema definitions,CONST.vault_maintenance.specialist.template_compliance,active
VM.note_processor,Note Processor,specialist,vault_maintenance,Process unprocessed notes from 01_CAPTURE into canonical vault locations,classify notes; apply frontmatter; promote to canonical locations; archive duplicates,modify governance principles; change authority architecture; delete without archiving,CONST.vault_maintenance.specialist.note_processor,active
VM.self_healing,Self-Healing Repairer,specialist,vault_maintenance,Execute approved repair operations on vault notes,repair broken frontmatter; fix stale paths; update relationships; log all repairs,delete notes permanently; modify authority packs; change governance rules; repair without approval,CONST.vault_maintenance.specialist.self_healing,active
