timestamp,agent_id,agent_role,constellation,action,permission,executed,outcome,conditions,error
2026-03-14T11:27:51.286491+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Prioritise maintenance tasks,allowed,True,priorities_set,Based on schema validation and link audit reports,
2026-03-14T11:27:51.289997+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Change vault directory structure,denied,False,blocked_by_authority,Structural changes are out of scope for this constellation,
2026-03-14T11:27:51.292972+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Delete vault files,requires_escalation,False,escalation_required,All file deletions require human operator approval,
2026-03-14T11:27:51.297462+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Prioritise maintenance tasks,allowed,False,,Based on schema validation and link audit reports,Something went wrong
2026-03-14T11:27:51.301768+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Prioritise maintenance tasks,allowed,True,ok,Based on schema validation and link audit reports,
2026-03-14T11:27:51.303322+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Change vault directory structure,denied,False,blocked_by_authority,Structural changes are out of scope for this constellation,
2026-03-14T11:27:51.304964+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Delete vault files,requires_escalation,False,escalation_required,All file deletions require human operator approval,
2026-03-14T11:27:51.333396+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Prioritise maintenance tasks,allowed,True,tasks_prioritised,Based on schema validation and link audit reports,
2026-03-14T11:27:51.335011+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Delegate audits to Supervisor,allowed,True,audits_delegated,Task must be within vault governance scope,
2026-03-14T11:27:51.344112+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Prioritise maintenance tasks,allowed,True,ok,Based on schema validation and link audit reports,
2026-03-14T11:27:51.345772+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Change vault directory structure,denied,False,blocked_by_authority,Structural changes are out of scope for this constellation,
2026-03-14T11:27:51.348807+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Prioritise maintenance tasks,allowed,True,test_logged,Based on schema validation and link audit reports,
